,Prognoseraum,Bezeichnung,have_language_deficit_relative,year,attended_kita_more_than_2_years_relative,attended_u8_relative,have_own_tv_relative,have_prominent_visuo_motoric_disorder_relative
0,0101,Zentrum,22.9,2017,90.3,96.0,0,10.0
1,0102,Moabit,37.9,2017,87.9,91.3,0,23.5
2,0103,Gesundbrunnen,43.4,2017,81.7,85.9,0,30.2
3,0104,Wedding,45.7,2017,79.6,88.3,0,28.1
4,0201,Kreuzberg Nord,58.3,2017,89.0,87.8,0,20.2
5,0202,Kreuzberg Süd,22.9,2017,92.6,93.1,0,13.8
6,0203,Kreuzberg Ost,32.2,2017,93.5,87.5,0,15.0
7,0204,Friedrichshain West,24.7,2017,93.7,93.5,0,15.1
8,0205,Friedrichshain Ost,8.7,2017,95.5,94.5,0,9.8
9,0301,Buch,19.5,2017,92.7,93.3,0,31.9
10,0302,Nördliches Pankow,12.5,2017,96.6,97.1,0,17.0
11,0303,Nördliches Weißensee,13.7,2017,94.7,95.2,0,19.8
12,0304,Südliches Pankow,11.3,2017,97.0,95.7,0,16.3
13,0305,Südliches Weißensee,17.6,2017,92.8,94.4,0,20.7
14,0306,Nördl. Prenzl. Berg,11.8,2017,95.2,95.6,0,14.5
15,0307,Südl. Prenzl. Berg,12.8,2017,93.6,95.1,0,12.7
16,0401,Charlottenburg-Nord,35.3,2017,84.0,94.6,0,22.4
17,0402,Westend,21.0,2017,88.4,95.7,0,13.9
18,0403,Charlottenburg,29.6,2017,86.8,95.0,0,17.7
19,0404,Schmargendorf,23.0,2017,92.5,93.3,0,11.5
20,0405,Wilmersdorf,35.3,2017,86.4,95.1,0,18.7
21,0406,Forst Grunewald,0.0,2017,0.0,0.0,0,0.0
22,0501,SPA 1,38.5,2017,80.0,93.1,0,22.5
23,0502,SPA 2,38.7,2017,82.7,93.5,0,25.2
24,0503,SPA 3,36.5,2017,85.6,94.4,0,11.5
25,0504,SPA 4,21.1,2017,90.7,98.1,0,18.7
26,0601,Region A,18.6,2017,93.5,96.9,0,12.7
27,0602,Region B,23.4,2017,90.3,97.2,0,17.0
28,0603,Region C,17.9,2017,92.0,97.2,0,13.9
29,0604,Region D,12.7,2017,93.1,97.6,0,11.9
30,0701,Schöneberg-Nord,44.9,2017,81.2,93.8,0,19.9
31,0702,Schöneberg-Süd,21.9,2017,92.7,95.3,0,14.1
32,0703,Friedenau,12.4,2017,93.9,95.8,0,13.0
33,0704,Tempelhof,27.3,2017,90.1,97.3,0,20.7
34,0705,Mariendorf,27.6,2017,88.7,97.6,0,18.6
35,0706,Marienfelde,32.8,2017,79.9,96.1,0,20.7
36,0707,Lichtenrade,19.7,2017,91.3,97.6,0,19.9
37,0801,Neukölln,51.4,2017,86.0,88.0,0,24.3
38,0802,Britz-Buckow,34.3,2017,86.9,93.5,0,26.7
39,0803,Gropiusstadt,46.3,2017,86.5,87.9,0,19.9
40,0804,Buckow Nord / Rudow,15.8,2017,93.1,94.8,0,16.4
41,0901,Treptow-Köpenick 1,8.0,2017,92.8,94.7,0,11.6
42,0902,Treptow-Köpenick 2,23.4,2017,88.9,90.3,0,25.1
43,0903,Treptow-Köpenick 3,13.7,2017,91.5,94.4,0,15.0
44,0904,Treptow-Köpenick 4,13.5,2017,90.2,94.3,0,17.6
