Prognoseraum,Bezeichnung,Anteil,year
0101,Zentrum,9.293680297397769,2006
0102,Moabit,21.818181818181817,2006
0103,Gesundbrunnen,32.291666666666664,2006
0104,Wedding,27.33160621761658,2006
0201,Kreuzberg Nord,25.475285171102662,2006
0202,Kreuzberg Süd,11.439114391143912,2006
0203,Kreuzberg Ost,16.0075329566855,2006
0204,Friedrichshain West,10.424710424710424,2006
0205,Friedrichshain Ost,10.304449648711945,2006
0301,Buch,15.254237288135593,2006
0302,Nördliches Pankow,11.604938271604938,2006
0303,Nördliches Weißensee,10.299003322259136,2006
0304,Südliches Pankow,9.523809523809524,2006
0305,Südliches Weißensee,14.880952380952381,2006
0306,Nördlicher Prenzl. Berg,6.469500924214418,2006
0307,Südlicher Prenzl. Berg,3.194103194103194,2006
0401,Charlottenburg-Nord,0,2006
0402,Westend,8.8,2006
0403,Charlottenburg,10.151187904967603,2006
0404,Schmargendorf,7.196969696969697,2006
0405,Wilmersdorf,7.259953161592506,2006
0406,Forst Grunewald,0,2006
0501,SPA 1,23.6318407960199,2006
0502,SPA 2,15.743440233236152,2006
0503,SPA 3,23.391812865497077,2006
0504,SPA 4,4.968944099378882,2006
0601,Region A,8.488612836438923,2006
0602,Region B,9.107806691449815,2006
0603,Region C,5.636070853462158,2006
0604,Region D,3.302752293577982,2006
0701,Schöneberg-Nord,13.054830287206267,2006
0702,Schöneberg-Süd,11.977715877437326,2006
0703,Friedenau,6.295399515738499,2006
0704,Tempelhof,17.880794701986755,2006
0705,Mariendorf,19.137466307277627,2006
0706,Marienfelde,15.810276679841897,2006
0707,Lichtenrade,10.730593607305936,2006
0801,Neukölln,27.26063829787234,2006
0802,Britz-Buckow,17.286245353159853,2006
0803,Gropiusstadt,29.642857142857142,2006
0804,Buckow Nord / Rudow,13.397129186602871,2006
0901,Treptow-Köpenick 1,16.71232876712329,2006
0902,Treptow-Köpenick 2,21.428571428571427,2006
0903,Treptow-Köpenick 3,18.703241895261847,2006
0904,Treptow-Köpenick 4,11.73913043478261,2006
0905,Treptow-Köpenick 5,7.763975155279503,2006
1001,Marzahn,28.450704225352112,2006
1002,Hellersdorf,33.69565217391305,2006
1003,Biesdorf,17.857142857142858,2006
1004,Kaulsdorf / Mahlsdorf,16.8646080760095,2006
1101,Hohenschönhausen Nord,26.785714285714285,2006
1102,Hohenschönhausen Süd,18.081180811808117,2006
1103,Lichtenberg Nord,21.220159151193634,2006
1104,Lichtenberg Mitte,20.855614973262032,2006
1105,Lichtenberg Süd,10.294117647058824,2006
1210,Reinickendorf-Ost,20.9366391184573,2006
1221,Tegel,21.705426356589147,2006
1222,Heiligensee-Konradshöhe,6.018518518518518,2006
1223,Frohnau-Hermsdorf,3.9393939393939394,2006
1230,Waidmannslust,22.53922967189729,2006
0101,Zentrum,6.4,2012
0102,Moabit,13.7,2012
0103,Gesundbrunnen,25,2012
0104,Wedding,21,2012
0201,Kreuzberg Nord,16.2,2012
0202,Kreuzberg Süd,5.5,2012
0203,Kreuzberg Ost,6.9,2012
0204,Friedrichshain West,5.2,2012
0205,Friedrichshain Ost,4.4,2012
0301,Buch,12.5,2012
0302,Nördliches Pankow,9.2,2012
0303,Nördliches Weißensee,6.4,2012
0304,Südliches Pankow,5.7,2012
0305,Südliches Weißensee,10.4,2012
0306,Nördlicher Prenzl. Berg,2.8,2012
0307,Südlicher Prenzl. Berg,1.5,2012
0401,Charlottenburg-Nord,20.8,2012
0402,Westend,2.6,2012
0403,Charlottenburg,6.8,2012
0404,Schmargendorf,3.2,2012
0405,Wilmersdorf,6.7,2012
0406,Forst Grunewald,0,2012
0501,SPA 1,16.7,2012
0502,SPA 2,17.4,2012
0503,SPA 3,16.4,2012
0504,SPA 4,2.4,2012
0601,Region A,7.1,2012
0602,Region B,9,2012
0603,Region C,2.8,2012
0604,Region D,1.6,2012
0701,Schöneberg-Nord,11.6,2012
0702,Schöneberg-Süd,7,2012
0703,Friedenau,6.4,2012
0704,Tempelhof,13.2,2012
0705,Mariendorf,15,2012
0706,Marienfelde,18.7,2012
0707,Lichtenrade,10.1,2012
0801,Neukölln,17.9,2012
0802,Britz-Buckow,12.3,2012
0803,Gropiusstadt,24.2,2012
0804,Buckow Nord / Rudow,9.9,2012
0901,Treptow-Köpenick 1,10.5,2012
0902,Treptow-Köpenick 2,13.7,2012
0903,Treptow-Köpenick 3,13.2,2012
0904,Treptow-Köpenick 4,7.9,2012
0905,Treptow-Köpenick 5,4.6,2012
1001,Marzahn,27.5,2012
1002,Hellersdorf,28.2,2012
1003,Biesdorf,8.9,2012
1004,Kaulsdorf / Mahlsdorf,7.2,2012
1101,Hohenschönhausen Nord,23.2,2012
1102,Hohenschönhausen Süd,14.3,2012
1103,Lichtenberg Nord,14.3,2012
1104,Lichtenberg Mitte,18.8,2012
1105,Lichtenberg Süd,3.9,2012
1210,Reinickendorf-Ost,20.3,2012
1221,Tegel,19.3,2012
1222,Heiligensee-Konradshöhe,3.8,2012
1223,Frohnau-Hermsdorf,4.1,2012
1230,Waidmannslust,19.1,2012
0101,Zentrum,4.6,2013
0102,Moabit,9.3,2013
0103,Gesundbrunnen,17,2013
0104,Wedding,20.7,2013
0201,Kreuzberg Nord,13.4,2013
0202,Kreuzberg Süd,3.9,2013
0203,Kreuzberg Ost,4.8,2013
0204,Friedrichshain West,5.7,2013
0205,Friedrichshain Ost,1.8,2013
0301,Buch,19,2013
0302,Nördliches Pankow,4.5,2013
0303,Nördliches Weißensee,10,2013
0304,Südliches Pankow,3.4,2013
0305,Südliches Weißensee,8,2013
0306,Nördlicher Prenzl. Berg,3.3,2013
0307,Südlicher Prenzl. Berg,1.5,2013
0401,Charlottenburg-Nord,7,2013
0402,Westend,3.5,2013
0403,Charlottenburg,5.7,2013
0404,Schmargendorf,3.5,2013
0405,Wilmersdorf,4.5,2013
0406,Forst Grunewald,0,2013
0501,SPA 1,18.2,2013
0502,SPA 2,17.1,2013
0503,SPA 3,15.5,2013
0504,SPA 4,1.8,2013
0601,Region A,4.3,2013
0602,Region B,6.5,2013
0603,Region C,2.3,2013
0604,Region D,1.5,2013
0701,Schöneberg-Nord,10.2,2013
0702,Schöneberg-Süd,5.6,2013
0703,Friedenau,5,2013
0704,Tempelhof,10.8,2013
0705,Mariendorf,11.8,2013
0706,Marienfelde,14.8,2013
0707,Lichtenrade,9.7,2013
0801,Neukölln,18.2,2013
0802,Britz-Buckow,11.1,2013
0803,Gropiusstadt,17.1,2013
0804,Buckow Nord / Rudow,10.8,2013
0901,Treptow-Köpenick 1,7.3,2013
0902,Treptow-Köpenick 2,13.8,2013
0903,Treptow-Köpenick 3,9.5,2013
0904,Treptow-Köpenick 4,8.5,2013
0905,Treptow-Köpenick 5,5,2013
1001,Marzahn,20.2,2013
1002,Hellersdorf,23.1,2013
1003,Biesdorf,4.4,2013
1004,Kaulsdorf / Mahlsdorf,6.3,2013
1101,Hohenschönhausen Nord,22.7,2013
1102,Hohenschönhausen Süd,11.7,2013
1103,Lichtenberg Nord,15,2013
1104,Lichtenberg Mitte,16,2013
1105,Lichtenberg Süd,2.6,2013
1210,Reinickendorf-Ost,21.5,2013
1221,Tegel,14.2,2013
1222,Heiligensee-Konradshöhe,4.8,2013
1223,Frohnau-Hermsdorf,2.5,2013
1230,Waidmannslust,16.1,2013
0101,Zentrum,4,2016
0102,Moabit,8.5,2016
0103,Gesundbrunnen,14.5,2016
0104,Wedding,13.2,2016
0201,Kreuzberg Nord,8.1,2016
0202,Kreuzberg Süd,2.4,2016
0203,Kreuzberg Ost,2.6,2016
0204,Friedrichshain West,4.9,2016
0205,Friedrichshain Ost,2.1,2016
0301,Buch,11.8,2016
0302,Nördliches Pankow,3.4,2016
0303,Nördliches Weißensee,5.9,2016
0304,Südliches Pankow,3.7,2016
0305,Südliches Weißensee,5.1,2016
0306,Nördl. Prenzl. Berg,1.8,2016
0307,Südl. Prenzl. Berg,1.5,2016
0401,Charlottenburg-Nord,13.3,2016
0402,Westend,2.7,2016
0403,Charlottenburg,4,2016
0404,Schmargendorf,3.5,2016
0405,Wilmersdorf,4,2016
0406,Forst Grunewald,0,2016
0501,SPA 1,12.5,2016
0502,SPA 2,14.1,2016
0503,SPA 3,9.9,2016
0504,SPA 4,4.4,2016
0601,Region A,4.1,2016
0602,Region B,7.5,2016
0603,Region C,3.2,2016
0604,Region D,1.7,2016
0701,Schöneberg-Nord,6.2,2016
0702,Schöneberg-Süd,2.1,2016
0703,Friedenau,1.7,2016
0704,Tempelhof,7.4,2016
0705,Mariendorf,11,2016
0706,Marienfelde,11.7,2016
0707,Lichtenrade,8,2016
0801,Neukölln,11.1,2016
0802,Britz-Buckow,9.3,2016
0803,Gropiusstadt,16.3,2016
0804,Buckow Nord / Rudow,10.3,2016
0901,Treptow-Köpenick 1,8.2,2016
0902,Treptow-Köpenick 2,11.2,2016
0903,Treptow-Köpenick 3,10.6,2016
0904,Treptow-Köpenick 4,8.1,2016
0905,Treptow-Köpenick 5,4.6,2016
1001,Marzahn,17.7,2016
1002,Hellersdorf,21.4,2016
1003,Biesdorf,4.1,2016
1004,Kaulsdorf / Mahlsdorf,5.8,2016
1101,Hohenschönhausen Nord,20.6,2016
1102,Hohenschönhausen Süd,8,2016
1103,Lichtenberg Nord,8,2016
1104,Lichtenberg Mitte,12.5,2016
1105,Lichtenberg Süd,3.1,2016
1210,Reinickendorf-Ost,15.7,2016
1221,Tegel,15.8,2016
1222,Heiligensee-Konradshöhe,4,2016
1223,Frohnau-Hermsdorf,2.1,2016
1230,Waidmannslust,12,2016
0101,Zentrum,4.3,2015
0102,Moabit,8.1,2015
0103,Gesundbrunnen,15.3,2015
0104,Wedding,15.6,2015
0201,Kreuzberg Nord,9.1,2015
0202,Kreuzberg Süd,2.2,2015
0203,Kreuzberg Ost,4.2,2015
0204,Friedrichshain West,7.9,2015
0205,Friedrichshain Ost,2.5,2015
0301,Buch,16.2,2015
0302,Nördliches Pankow,5.7,2015
0303,Nördliches Weißensee,6,2015
0304,Südliches Pankow,3.7,2015
0305,Südliches Weißensee,6.7,2015
0306,Nördl. Prenzl. Berg,2.6,2015
0307,Südl. Prenzl. Berg,0.6,2015
0401,Charlottenburg-Nord,9.8,2015
0402,Westend,1.9,2015
0403,Charlottenburg,6.2,2015
0404,Schmargendorf,2.9,2015
0405,Wilmersdorf,3.5,2015
0406,Forst Grunewald,0,2015
0501,SPA 1,14.8,2015
0502,SPA 2,13.5,2015
0503,SPA 3,13.9,2015
0504,SPA 4,5,2015
0601,Region A,6.5,2015
0602,Region B,8.1,2015
0603,Region C,3,2015
0604,Region D,3.4,2015
0701,Schöneberg-Nord,4.3,2015
0702,Schöneberg-Süd,3.4,2015
0703,Friedenau,4.6,2015
0704,Tempelhof,8.7,2015
0705,Mariendorf,9.4,2015
0706,Marienfelde,10.5,2015
0707,Lichtenrade,4.3,2015
0801,Neukölln,13.8,2015
0802,Britz-Buckow,10.3,2015
0803,Gropiusstadt,19.1,2015
0804,Buckow Nord / Rudow,7.9,2015
0901,Treptow-Köpenick 1,6.1,2015
0902,Treptow-Köpenick 2,12.2,2015
0903,Treptow-Köpenick 3,6.8,2015
0904,Treptow-Köpenick 4,11,2015
0905,Treptow-Köpenick 5,4.3,2015
1001,Marzahn,20.4,2015
1002,Hellersdorf,18.9,2015
1003,Biesdorf,4.5,2015
1004,Kaulsdorf / Mahlsdorf,6.5,2015
1101,Hohenschönhausen Nord,21.3,2015
1102,Hohenschönhausen Süd,12.4,2015
1103,Lichtenberg Nord,8.3,2015
1104,Lichtenberg Mitte,16,2015
1105,Lichtenberg Süd,3.3,2015
1210,Reinickendorf-Ost,18.1,2015
1221,Tegel,12.6,2015
1222,Heiligensee-Konradshöhe,2.4,2015
1223,Frohnau-Hermsdorf,1.7,2015
1230,Waidmannslust,12.9,2015
0101,Zentrum,7.4957410562180575,2009
0102,Moabit,15.682281059063136,2009
0103,Gesundbrunnen,29.53125,2009
0104,Wedding,28.91737891737892,2009
0201,Kreuzberg Nord,19.50718685831622,2009
0202,Kreuzberg Süd,9.885931558935361,2009
0203,Kreuzberg Ost,14.698795180722891,2009
0204,Friedrichshain West,7.5,2009
0205,Friedrichshain Ost,3.8229376257545273,2009
0301,Buch,18.181818181818183,2009
0302,Nördliches Pankow,10.38961038961039,2009
0303,Nördliches Weißensee,11.11111111111111,2009
0304,Südliches Pankow,8.484848484848484,2009
0305,Südliches Weißensee,11.377245508982035,2009
0306,Nördlicher Prenzl. Berg,6.776859504132231,2009
0307,Südlicher Prenzl. Berg,2.320675105485232,2009
0401,Charlottenburg-Nord,19.35483870967742,2009
0402,Westend,4.878048780487805,2009
0403,Charlottenburg,8.51581508515815,2009
0404,Schmargendorf,4.436860068259386,2009
0405,Wilmersdorf,5.13347022587269,2009
0406,Forst Grunewald,0,2009
0501,SPA 1,14.022662889518413,2009
0502,SPA 2,16.72473867595819,2009
0503,SPA 3,14.130434782608695,2009
0504,SPA 4,4.444444444444445,2009
0601,Region A,8.514851485148515,2009
0602,Region B,5.7915057915057915,2009
0603,Region C,3.236245954692557,2009
0604,Region D,1.2658227848101267,2009
0701,Schöneberg-Nord,13.45565749235474,2009
0702,Schöneberg-Süd,16.077170418006432,2009
0703,Friedenau,8.443271767810026,2009
0704,Tempelhof,14.928909952606634,2009
0705,Mariendorf,16.71826625386997,2009
0706,Marienfelde,18.51851851851852,2009
0707,Lichtenrade,11.936339522546419,2009
0801,Neukölln,25.46439628482972,2009
0802,Britz-Buckow,18.036529680365298,2009
0803,Gropiusstadt,19.784172661870503,2009
0804,Buckow Nord / Rudow,10.133333333333333,2009
0901,Treptow-Köpenick 1,13.350785340314136,2009
0902,Treptow-Köpenick 2,13.520408163265307,2009
0903,Treptow-Köpenick 3,8.556149732620321,2009
0904,Treptow-Köpenick 4,9.523809523809524,2009
0905,Treptow-Köpenick 5,4.117647058823529,2009
1001,Marzahn,27.710843373493976,2009
1002,Hellersdorf,27.82764811490126,2009
1003,Biesdorf,9.67741935483871,2009
1004,Kaulsdorf / Mahlsdorf,8.480565371024735,2009
1101,Hohenschönhausen Nord,27.814569536423843,2009
1102,Hohenschönhausen Süd,15.444015444015443,2009
1103,Lichtenberg Nord,17.112299465240643,2009
1104,Lichtenberg Mitte,20.649651972157773,2009
1105,Lichtenberg Süd,4.910714285714286,2009
1210,Reinickendorf-Ost,22.128851540616246,2009
1221,Tegel,19.50354609929078,2009
1222,Heiligensee-Konradshöhe,3.125,2009
1223,Frohnau-Hermsdorf,3.389830508474576,2009
1230,Waidmannslust,20.66957787481805,2009
0101,Zentrum,4.7,2014
0102,Moabit,11.7,2014
0103,Gesundbrunnen,18.2,2014
0104,Wedding,18.3,2014
0201,Kreuzberg Nord,12.3,2014
0202,Kreuzberg Süd,2.7,2014
0203,Kreuzberg Ost,4,2014
0204,Friedrichshain West,4.8,2014
0205,Friedrichshain Ost,3.4,2014
0301,Buch,19.5,2014
0302,Nördliches Pankow,3.6,2014
0303,Nördliches Weißensee,7.3,2014
0304,Südliches Pankow,3.7,2014
0305,Südliches Weißensee,4.8,2014
0306,Nördlicher Prenzl. Berg,2.5,2014
0307,Südlicher Prenzl. Berg,1.2,2014
0401,Charlottenburg-Nord,16.1,2014
0402,Westend,4.9,2014
0403,Charlottenburg,5.1,2014
0404,Schmargendorf,3.1,2014
0405,Wilmersdorf,3.6,2014
0406,Forst Grunewald,0,2014
0501,SPA 1,17.5,2014
0502,SPA 2,15.3,2014
0503,SPA 3,12.7,2014
0504,SPA 4,2.2,2014
0601,Region A,4.8,2014
0602,Region B,6.1,2014
0603,Region C,2.6,2014
0604,Region D,1.5,2014
0701,Schöneberg-Nord,5.8,2014
0702,Schöneberg-Süd,4.1,2014
0703,Friedenau,3.3,2014
0704,Tempelhof,11.1,2014
0705,Mariendorf,12.6,2014
0706,Marienfelde,13.7,2014
0707,Lichtenrade,12.1,2014
0801,Neukölln,12,2014
0802,Britz-Buckow,13,2014
0803,Gropiusstadt,18,2014
0804,Buckow Nord / Rudow,12.5,2014
0901,Treptow-Köpenick 1,4.8,2014
0902,Treptow-Köpenick 2,9.7,2014
0903,Treptow-Köpenick 3,4.8,2014
0904,Treptow-Köpenick 4,8.7,2014
0905,Treptow-Köpenick 5,5.6,2014
1001,Marzahn,20.9,2014
1002,Hellersdorf,25.7,2014
1003,Biesdorf,4,2014
1004,Kaulsdorf / Mahlsdorf,5.8,2014
1101,Hohenschönhausen Nord,22.7,2014
1102,Hohenschönhausen Süd,8.1,2014
1103,Lichtenberg Nord,12.6,2014
1104,Lichtenberg Mitte,11.3,2014
1105,Lichtenberg Süd,2.5,2014
1210,Reinickendorf-Ost,17.9,2014
1221,Tegel,15.4,2014
1222,Heiligensee-Konradshöhe,3.7,2014
1223,Frohnau-Hermsdorf,3.3,2014
1230,Waidmannslust,15.2,2014
0101,Zentrum,9.700176366843033,2008
0102,Moabit,15.555555555555555,2008
0103,Gesundbrunnen,34.56561922365989,2008
0104,Wedding,29.320113314447593,2008
0201,Kreuzberg Nord,22.085889570552148,2008
0202,Kreuzberg Süd,9.591836734693878,2008
0203,Kreuzberg Ost,16.966580976863753,2008
0204,Friedrichshain West,14.163090128755364,2008
0205,Friedrichshain Ost,6.6115702479338845,2008
0301,Buch,14.285714285714286,2008
0302,Nördliches Pankow,10,2008
0303,Nördliches Weißensee,7.958477508650519,2008
0304,Südliches Pankow,5.17799352750809,2008
0305,Südliches Weißensee,11.377245508982035,2008
0306,Nördlicher Prenzl. Berg,6.284658040665434,2008
0307,Südlicher Prenzl. Berg,2.823529411764706,2008
0401,Charlottenburg-Nord,16.50485436893204,2008
0402,Westend,3.5294117647058822,2008
0403,Charlottenburg,9.79689366786141,2008
0404,Schmargendorf,7.835820895522388,2008
0405,Wilmersdorf,6.818181818181818,2008
0406,Forst Grunewald,0,2008
0501,SPA 1,21.294964028776977,2008
0502,SPA 2,12.265758091993186,2008
0503,SPA 3,23.25581395348837,2008
0504,SPA 4,2.027027027027027,2008
0601,Region A,9.387755102040817,2008
0602,Region B,9.146341463414634,2008
0603,Region C,2.936378466557912,2008
0604,Region D,1.7064846416382253,2008
0701,Schöneberg-Nord,14.953271028037383,2008
0702,Schöneberg-Süd,9.477124183006536,2008
0703,Friedenau,6.606606606606607,2008
0704,Tempelhof,15.676959619952495,2008
0705,Mariendorf,13.569321533923304,2008
0706,Marienfelde,18.5,2008
0707,Lichtenrade,12.35632183908046,2008
0801,Neukölln,25.165016501650165,2008
