Prognoseraum,Bezeichnung,Anteil,year
0101,Zentrum,88.3,2015
0102,Moabit,85.6,2015
0103,Gesundbrunnen,77.9,2015
0104,Wedding,75.9,2015
0201,Kreuzberg Nord,82.5,2015
0202,Kreuzberg Süd,91.9,2015
0203,Kreuzberg Ost,91.5,2015
0204,Friedrichshain West,92.1,2015
0205,Friedrichshain Ost,95,2015
0301,Buch,90.7,2015
0302,Nördliches Pankow,95.8,2015
0303,Nördliches Weißensee,95.9,2015
0304,Südliches Pankow,94.9,2015
0305,Südliches Weißensee,95.3,2015
0306,Nördl. Prenzl. Berg,95.5,2015
0307,Südl. Prenzl. Berg,96.1,2015
0401,Charlottenburg-Nord,83,2015
0402,Westend,88.2,2015
0403,Charlottenburg,86.9,2015
0404,Schmargendorf,89.1,2015
0405,Wilmersdorf,86.1,2015
0406,Forst Grunewald,0,2015
0501,SPA 1,81.3,2015
0502,SPA 2,81.6,2015
0503,SPA 3,78,2015
0504,SPA 4,84.8,2015
0601,Region A,89.8,2015
0602,Region B,87.7,2015
0603,Region C,91.5,2015
0604,Region D,92,2015
0701,Schöneberg-Nord,89,2015
0702,Schöneberg-Süd,89.8,2015
0703,Friedenau,90.1,2015
0704,Tempelhof,83.9,2015
0705,Mariendorf,84.8,2015
0706,Marienfelde,79.2,2015
0707,Lichtenrade,84.9,2015
0801,Neukölln,76.3,2015
0802,Britz-Buckow,82.8,2015
0803,Gropiusstadt,83.3,2015
0804,Buckow Nord / Rudow,87.8,2015
0901,Treptow-Köpenick 1,94,2015
0902,Treptow-Köpenick 2,88.9,2015
0903,Treptow-Köpenick 3,95.3,2015
0904,Treptow-Köpenick 4,90.2,2015
0905,Treptow-Köpenick 5,94.6,2015
1001,Marzahn,82.6,2015
1002,Hellersdorf,82.2,2015
1003,Biesdorf,95.1,2015
1004,Kaulsdorf / Mahlsdorf,95.8,2015
1101,Hohenschönhausen Nord,86,2015
1102,Hohenschönhausen Süd,84,2015
1103,Lichtenberg Nord,86.8,2015
1104,Lichtenberg Mitte,90.1,2015
1105,Lichtenberg Süd,97.3,2015
1210,Reinickendorf-Ost,82.1,2015
1221,Tegel,77.8,2015
1222,Heiligensee-Konradshöhe,96.5,2015
1223,Frohnau-Hermsdorf,94.3,2015
1230,Waidmannslust,76.1,2015
0101,Zentrum,86.10634648370497,2007
0102,Moabit,78.57142857142857,2007
0103,Gesundbrunnen,65.58265582655827,2007
0104,Wedding,67.05729166666667,2007
0201,Kreuzberg Nord,75.9825327510917,2007
0202,Kreuzberg Süd,82.63358778625954,2007
0203,Kreuzberg Ost,79.4392523364486,2007
0204,Friedrichshain West,84,2007
0205,Friedrichshain Ost,91.35559921414539,2007
0301,Buch,91.58878504672897,2007
0302,Nördliches Pankow,93.93939393939394,2007
0303,Nördliches Weißensee,96.96969696969697,2007
0304,Südliches Pankow,95.05649717514125,2007
0305,Südliches Weißensee,93.04635761589404,2007
0306,Nördlicher Prenzl. Berg,92.28243021346469,2007
0307,Südlicher Prenzl. Berg,95.35398230088495,2007
0401,Charlottenburg-Nord,77.23577235772358,2007
0402,Westend,93.2,2007
0403,Charlottenburg,84.18549346016647,2007
0404,Schmargendorf,83.93442622950819,2007
0405,Wilmersdorf,82.6603325415677,2007
0406,Forst Grunewald,0,2007
0501,SPA 1,80.44619422572178,2007
0502,SPA 2,81.69642857142857,2007
0503,SPA 3,81.04265402843602,2007
0504,SPA 4,93.67088607594937,2007
0601,Region A,89.14728682170542,2007
