Prognoseraum,Bezeichnung,Anteil,year
0101,Zentrum,22.9,2017
0102,Moabit,37.9,2017
0103,Gesundbrunnen,43.4,2017
0104,Wedding,45.7,2017
0201,Kreuzberg Nord,58.3,2017
0202,Kreuzberg Süd,22.9,2017
0203,Kreuzberg Ost,32.2,2017
0204,Friedrichshain West,24.7,2017
0205,Friedrichshain Ost,8.7,2017
0301,Buch,19.5,2017
0302,Nördliches Pankow,12.5,2017
0303,Nördliches Weißensee,13.7,2017
0304,Südliches Pankow,11.3,2017
0305,Südliches Weißensee,17.6,2017
0306,Nördl. Prenzl. Berg,11.8,2017
0307,Südl. Prenzl. Berg,12.8,2017
0401,Charlottenburg-Nord,35.3,2017
0402,Westend,21,2017
0403,Charlottenburg,29.6,2017
0404,Schmargendorf,23,2017
0405,Wilmersdorf,35.3,2017
0406,Forst Grunewald,0,2017
0501,SPA 1,38.5,2017
0502,SPA 2,38.7,2017
0503,SPA 3,36.5,2017
0504,SPA 4,21.1,2017
0601,Region A,18.6,2017
0602,Region B,23.4,2017
0603,Region C,17.9,2017
0604,Region D,12.7,2017
0701,Schöneberg-Nord,44.9,2017
0702,Schöneberg-Süd,21.9,2017
0703,Friedenau,12.4,2017
0704,Tempelhof,27.3,2017
0705,Mariendorf,27.6,2017
0706,Marienfelde,32.8,2017
0707,Lichtenrade,19.7,2017
0801,Neukölln,51.4,2017
0802,Britz-Buckow,34.3,2017
0803,Gropiusstadt,46.3,2017
0804,Buckow Nord / Rudow,15.8,2017
0901,Treptow-Köpenick 1,8,2017
0902,Treptow-Köpenick 2,23.4,2017
0903,Treptow-Köpenick 3,13.7,2017
0904,Treptow-Köpenick 4,13.5,2017
0905,Treptow-Köpenick 5,11.6,2017
1001,Marzahn,32.5,2017
1002,Hellersdorf,42.2,2017
1003,Biesdorf,12.9,2017
1004,Kaulsdorf / Mahlsdorf,18.1,2017
1101,Hohenschönhausen Nord,34.1,2017
1102,Hohenschönhausen Süd,31.8,2017
1103,Lichtenberg Nord,32.5,2017
1104,Lichtenberg Mitte,23.8,2017
1105,Lichtenberg Süd,7.9,2017
1210,Reinickendorf-Ost,47,2017
1221,Tegel,40.6,2017
1222,Heiligensee-Konradshöhe,13.8,2017
1223,Frohnau-Hermsdorf,7.7,2017
1230,Waidmannslust,46,2017
0101,Zentrum,16.6,2013
0102,Moabit,32.5,2013
0103,Gesundbrunnen,60.6,2013
0104,Wedding,55.6,2013
0201,Kreuzberg Nord,51.7,2013
0202,Kreuzberg Süd,17.6,2013
