Prognoseraum,Bezeichnung,Anteil,year
0101,Zentrum,88,2012
0102,Moabit,80.8,2012
0103,Gesundbrunnen,75.8,2012
0104,Wedding,78.4,2012
0201,Kreuzberg Nord,76.1,2012
0202,Kreuzberg Süd,86.8,2012
0203,Kreuzberg Ost,89.8,2012
0204,Friedrichshain West,86,2012
0205,Friedrichshain Ost,87.3,2012
0301,Buch,92.3,2012
0302,Nördliches Pankow,94,2012
0303,Nördliches Weißensee,90.4,2012
0304,Südliches Pankow,89.7,2012
0305,Südliches Weißensee,85.8,2012
0306,Nördlicher Prenzl. Berg,91,2012
0307,Südlicher Prenzl. Berg,91.1,2012
0401,Charlottenburg-Nord,84.8,2012
0402,Westend,92.8,2012
0403,Charlottenburg,89.8,2012
0404,Schmargendorf,90.5,2012
0405,Wilmersdorf,90.6,2012
0406,Forst Grunewald,0,2012
0501,SPA 1,83.9,2012
0502,SPA 2,84.7,2012
0503,SPA 3,83.7,2012
0504,SPA 4,92.4,2012
0601,Region A,91.2,2012
0602,Region B,91.8,2012
0603,Region C,94.8,2012
0604,Region D,93.7,2012
0701,Schöneberg-Nord,84.3,2012
0702,Schöneberg-Süd,85.6,2012
0703,Friedenau,90.9,2012
0704,Tempelhof,86.4,2012
0705,Mariendorf,91.1,2012
0706,Marienfelde,92,2012
0707,Lichtenrade,92.4,2012
0801,Neukölln,75.4,2012
0802,Britz-Buckow,86.9,2012
0803,Gropiusstadt,81.4,2012
0804,Buckow Nord / Rudow,86.5,2012
0901,Treptow-Köpenick 1,88.9,2012
0902,Treptow-Köpenick 2,84.2,2012
0903,Treptow-Köpenick 3,91.8,2012
0904,Treptow-Köpenick 4,91.5,2012
0905,Treptow-Köpenick 5,90.1,2012
1001,Marzahn,86.9,2012
1002,Hellersdorf,86,2012
1003,Biesdorf,94.1,2012
1004,Kaulsdorf / Mahlsdorf,92,2012
1101,Hohenschönhausen Nord,84.2,2012
1102,Hohenschönhausen Süd,87.1,2012
1103,Lichtenberg Nord,86.3,2012
1104,Lichtenberg Mitte,82.8,2012
1105,Lichtenberg Süd,93.7,2012
1210,Reinickendorf-Ost,82.7,2012
1221,Tegel,83.3,2012
