Prognoseraum,Bezeichnung,Anteil,year
0101,Zentrum,12.01923076923077,2008
0102,Moabit,16.826923076923077,2008
0103,Gesundbrunnen,29.6875,2008
0104,Wedding,25.627476882430646,2008
0201,Kreuzberg Nord,23.895582329317268,2008
0202,Kreuzberg Süd,14.814814814814815,2008
0203,Kreuzberg Ost,17.617866004962778,2008
0204,Friedrichshain West,19.12350597609562,2008
0205,Friedrichshain Ost,12.13307240704501,2008
0301,Buch,27.884615384615383,2008
0302,Nördliches Pankow,13.583138173302109,2008
0303,Nördliches Weißensee,13.861386138613861,2008
0304,Südliches Pankow,13.988095238095237,2008
0305,Südliches Weißensee,11.956521739130435,2008
0306,Nördlicher Prenzl. Berg,11.092150170648464,2008
0307,Südlicher Prenzl. Berg,6.222222222222222,2008
0401,Charlottenburg-Nord,16.9811320754717,2008
0402,Westend,9.448818897637794,2008
0403,Charlottenburg,10.930232558139535,2008
0404,Schmargendorf,10.37037037037037,2008
0405,Wilmersdorf,18.395303326810176,2008
0406,Forst Grunewald,0,2008
0501,SPA 1,18.926174496644297,2008
0502,SPA 2,14.536741214057509,2008
0503,SPA 3,16.964285714285715,2008
0504,SPA 4,13.20754716981132,2008
0601,Region A,9.001956947162427,2008
0602,Region B,17.613636363636363,2008
0603,Region C,9.28,2008
0604,Region D,6.187290969899665,2008
0701,Schöneberg-Nord,14.084507042253522,2008
0702,Schöneberg-Süd,17.391304347826086,2008
0703,Friedenau,10.734463276836157,2008
0704,Tempelhof,12.837837837837839,2008
0705,Mariendorf,12.430939226519337,2008
0706,Marienfelde,22.641509433962263,2008
0707,Lichtenrade,14.397905759162304,2008
0801,Neukölln,28.517397881996974,2008
0802,Britz-Buckow,16.90427698574338,2008
0803,Gropiusstadt,18.72791519434629,2008
0804,Buckow Nord / Rudow,19.148936170212767,2008
0901,Treptow-Köpenick 1,10.42654028436019,2008
0902,Treptow-Köpenick 2,15.856777493606138,2008
0903,Treptow-Köpenick 3,7.197943444730077,2008
0904,Treptow-Köpenick 4,13.215859030837004,2008
0905,Treptow-Köpenick 5,6.534090909090909,2008
1001,Marzahn,17.705735660847882,2008
1002,Hellersdorf,28.181818181818183,2008
1003,Biesdorf,10.071942446043165,2008
1004,Kaulsdorf / Mahlsdorf,10.404624277456648,2008
1101,Hohenschönhausen Nord,24.72647702407002,2008
1102,Hohenschönhausen Süd,13.414634146341463,2008
1103,Lichtenberg Nord,14.043583535108958,2008
1104,Lichtenberg Mitte,17.587939698492463,2008
1105,Lichtenberg Süd,8.133971291866029,2008
1210,Reinickendorf-Ost,25.824175824175825,2008
1221,Tegel,13.881019830028329,2008
1222,Heiligensee-Konradshöhe,9.090909090909092,2008
1223,Frohnau-Hermsdorf,7.719298245614035,2008
1230,Waidmannslust,16.331994645247658,2008
0101,Zentrum,8.860759493670885,2009
0102,Moabit,21.291448516579408,2009
0103,Gesundbrunnen,31.643835616438356,2009
0104,Wedding,24.83574244415243,2009
0201,Kreuzberg Nord,27.766599597585515,2009
0202,Kreuzberg Süd,19.21641791044776,2009
0203,Kreuzberg Ost,22.377622377622377,2009
0204,Friedrichshain West,9.897610921501707,2009
0205,Friedrichshain Ost,9.885931558935361,2009
0301,Buch,40.833333333333336,2009
0302,Nördliches Pankow,17.51824817518248,2009
0303,Nördliches Weißensee,19.016393442622952,2009
0304,Südliches Pankow,17.59656652360515,2009
0305,Südliches Weißensee,21.714285714285715,2009
0306,Nördlicher Prenzl. Berg,16.104294478527606,2009
0307,Südlicher Prenzl. Berg,12.6232741617357,2009
0401,Charlottenburg-Nord,8.661417322834646,2009
0402,Westend,7.450980392156863,2009
0403,Charlottenburg,13.450292397660819,2009
0404,Schmargendorf,16.065573770491802,2009
0405,Wilmersdorf,18.8212927756654,2009
0406,Forst Grunewald,0,2009
0501,SPA 1,18.046132971506104,2009
0502,SPA 2,15.248796147672552,2009
0503,SPA 3,13.775510204081632,2009
0504,SPA 4,11.920529801324504,2009
0601,Region A,10.38961038961039,2009
0602,Region B,11.11111111111111,2009
0603,Region C,8.240887480190175,2009
0604,Region D,4.964539007092198,2009
0701,Schöneberg-Nord,13.196480938416423,2009
0702,Schöneberg-Süd,13.855421686746988,2009
0703,Friedenau,7.407407407407407,2009
0704,Tempelhof,18.36283185840708,2009
0705,Mariendorf,14.577259475218659,2009
0706,Marienfelde,12.068965517241379,2009
0707,Lichtenrade,12.75,2009
0801,Neukölln,28.997093023255815,2009
0802,Britz-Buckow,19.327731092436974,2009
0803,Gropiusstadt,27.272727272727273,2009
0804,Buckow Nord / Rudow,20.865139949109416,2009
0901,Treptow-Köpenick 1,11.16751269035533,2009
0902,Treptow-Köpenick 2,12.807881773399014,2009
0903,Treptow-Köpenick 3,6.54911838790932,2009
0904,Treptow-Köpenick 4,16.666666666666668,2009
0905,Treptow-Köpenick 5,9.011627906976743,2009
1001,Marzahn,15.24390243902439,2009
1002,Hellersdorf,21.46422628951747,2009
1003,Biesdorf,9.6,2009
1004,Kaulsdorf / Mahlsdorf,4.761904761904762,2009
1101,Hohenschönhausen Nord,24.04040404040404,2009
1102,Hohenschönhausen Süd,18.248175182481752,2009
1103,Lichtenberg Nord,16.751269035532996,2009
1104,Lichtenberg Mitte,16.810344827586206,2009
1105,Lichtenberg Süd,8.75,2009
1210,Reinickendorf-Ost,19.841269841269842,2009
1221,Tegel,17.22972972972973,2009
1222,Heiligensee-Konradshöhe,14.942528735632184,2009
1223,Frohnau-Hermsdorf,5.51948051948052,2009
1230,Waidmannslust,17.847411444141688,2009
0101,Zentrum,10.2,2018
0102,Moabit,16.8,2018
0103,Gesundbrunnen,30.4,2018
0104,Wedding,26.5,2018
0201,Kreuzberg Nord,25.7,2018
0202,Kreuzberg Süd,12.9,2018
0203,Kreuzberg Ost,13.1,2018
0204,Friedrichshain West,15.4,2018
0205,Friedrichshain Ost,8.6,2018
0301,Buch,28.5,2018
0302,Nördliches Pankow,18.7,2018
0303,Nördliches Weißensee,20.8,2018
0304,Südliches Pankow,14.4,2018
0305,Südliches Weißensee,20.3,2018
0306,Nördl. Prenzl. Berg,11.8,2018
0307,Südl. Prenzl. Berg,10.4,2018
0401,Charlottenburg-Nord,15.2,2018
0402,Westend,9.4,2018
0403,Charlottenburg,15.3,2018
0404,Schmargendorf,12.9,2018
0405,Wilmersdorf,16.8,2018
0406,Forst Grunewald,0,2018
0501,SPA 1,19.3,2018
0502,SPA 2,23,2018
0503,SPA 3,8.2,2018
0504,SPA 4,15.2,2018
0601,Region A,11.9,2018
0602,Region B,18,2018
0603,Region C,10.7,2018
0604,Region D,9.2,2018
0701,Schöneberg-Nord,24.6,2018
0702,Schöneberg-Süd,12.4,2018
0703,Friedenau,15.1,2018
0704,Tempelhof,22,2018
0705,Mariendorf,23.3,2018
0706,Marienfelde,25,2018
0707,Lichtenrade,21.1,2018
0801,Neukölln,20,2018
0802,Britz-Buckow,21,2018
0803,Gropiusstadt,28.6,2018
0804,Buckow Nord / Rudow,23.7,2018
0901,Treptow-Köpenick 1,14.5,2018
0902,Treptow-Köpenick 2,20.5,2018
0903,Treptow-Köpenick 3,15.9,2018
0904,Treptow-Köpenick 4,18.9,2018
0905,Treptow-Köpenick 5,10.8,2018
1001,Marzahn,30,2018
1002,Hellersdorf,40,2018
1003,Biesdorf,16.4,2018
1004,Kaulsdorf / Mahlsdorf,19.5,2018
1101,Hohenschönhausen Nord,23.4,2018
1102,Hohenschönhausen Süd,10.4,2018
1103,Lichtenberg Nord,20.1,2018
1104,Lichtenberg Mitte,21.3,2018
1105,Lichtenberg Süd,13.4,2018
1210,Reinickendorf-Ost,25.2,2018
1221,Tegel,22.1,2018
1222,Heiligensee-Konradshöhe,15.7,2018
1223,Frohnau-Hermsdorf,14.3,2018
1230,Waidmannslust,32.7,2018
0101,Zentrum,18.07017543859649,2006
0102,Moabit,23.628048780487806,2006
0103,Gesundbrunnen,41.56706507304117,2006
0104,Wedding,31.350681536555143,2006
0201,Kreuzberg Nord,25.095785440613028,2006
0202,Kreuzberg Süd,17.318435754189945,2006
0203,Kreuzberg Ost,22.574626865671643,2006
0204,Friedrichshain West,18.46153846153846,2006
0205,Friedrichshain Ost,11.685393258426966,2006
0301,Buch,16.10169491525424,2006
0302,Nördliches Pankow,13.768115942028986,2006
0303,Nördliches Weißensee,12.541254125412541,2006
0304,Südliches Pankow,14.992927864214993,2006
0305,Südliches Weißensee,18.233618233618234,2006
0306,Nördlicher Prenzl. Berg,9.30232558139535,2006
0307,Südlicher Prenzl. Berg,9.024390243902438,2006
0401,Charlottenburg-Nord,11.650485436893204,2006
0402,Westend,1.5384615384615385,2006
0403,Charlottenburg,14.605543710021323,2006
0404,Schmargendorf,10.74074074074074,2006
0405,Wilmersdorf,17.03056768558952,2006
0406,Forst Grunewald,0,2006
0501,SPA 1,20.479041916167663,2006
0502,SPA 2,20.58011049723757,2006
0503,SPA 3,20.786516853932586,2006
0504,SPA 4,12.422360248447205,2006
0601,Region A,10.261569416498993,2006
0602,Region B,14.412811387900355,2006
0603,Region C,7.550077041602465,2006
0604,Region D,5.017921146953405,2006
0701,Schöneberg-Nord,19.746835443037973,2006
0702,Schöneberg-Süd,20.54794520547945,2006
0703,Friedenau,15.035799522673031,2006
0704,Tempelhof,23.026315789473685,2006
0705,Mariendorf,12.876712328767123,2006
0706,Marienfelde,14.84375,2006
0707,Lichtenrade,11.337868480725623,2006
0801,Neukölln,29.921773142112126,2006
0802,Britz-Buckow,19.746376811594203,2006
0803,Gropiusstadt,23.591549295774648,2006
0804,Buckow Nord / Rudow,18.949771689497716,2006
0901,Treptow-Köpenick 1,16.266666666666666,2006
0902,Treptow-Köpenick 2,19.743589743589745,2006
0903,Treptow-Köpenick 3,10.268948655256724,2006
0904,Treptow-Köpenick 4,11.538461538461538,2006
0905,Treptow-Köpenick 5,9.50920245398773,2006
1001,Marzahn,27.830832196452935,2006
1002,Hellersdorf,28.542094455852155,2006
1003,Biesdorf,12.605042016806722,2006
1004,Kaulsdorf / Mahlsdorf,15.54054054054054,2006
1101,Hohenschönhausen Nord,25.158562367864693,2006
